data,id_produtor,id_laticinio,id_rota,polo_climatico,y_real,y_pred_modelo,y_pred_baseline,erro_abs_modelo,erro_abs_baseline
2025-01-01,1,1,6,RIO_VERDE,558.2071428571427,554.75195,554.4142857142857,3.455189732142685,3.792857142856974
2025-01-02,1,1,6,RIO_VERDE,557.1771428571428,558.4926,553.9942857142858,1.315471888950924,3.182857142857074
2025-01-03,1,1,6,RIO_VERDE,559.01,559.1663,555.7471428571429,0.1563208007812591,3.262857142857115
2025-01-04,1,1,6,RIO_VERDE,559.0785714285714,558.4852,554.2299999999999,0.5933419363839221,4.848571428571518
2025-01-05,1,1,6,RIO_VERDE,558.9442857142857,558.1767,554.8271428571428,0.7675889369419338,4.1171428571428805
2025-01-06,1,1,6,RIO_VERDE,559.25,562.56226,555.99,3.312255859375,3.259999999999991
2025-01-07,1,1,6,RIO_VERDE,559.3028571428571,556.56006,558.5071428571429,2.7427985491070785,0.7957142857142117
2025-01-08,1,1,6,RIO_VERDE,560.5214285714286,559.78564,558.08,0.7357840401786007,2.4414285714285597
2025-01-09,1,1,6,RIO_VERDE,560.8271428571429,557.10504,558.2071428571428,3.722101353236667,2.6200000000001182
2025-01-10,1,1,6,RIO_VERDE,559.2585714285714,559.19257,557.1771428571429,0.06600551060262205,2.0814285714284324
2025-01-11,1,1,6,RIO_VERDE,556.8157142857143,559.5062,559.01,2.690511300223193,2.1942857142856838
2025-01-12,1,1,6,RIO_VERDE,556.7385714285714,556.3426,559.0785714285714,0.39598109654014024,2.340000000000032
2025-01-13,1,1,6,RIO_VERDE,557.3057142857143,554.98676,558.9442857142857,2.3189589146205662,1.6385714285713675
2025-01-14,1,1,6,RIO_VERDE,557.2071428571428,556.55194,559.25,0.6552019391740487,2.0428571428572013
2025-01-15,1,1,6,RIO_VERDE,557.3571428571429,556.68604,559.3028571428571,0.6711077008928896,1.945714285714189
2025-01-16,1,1,6,RIO_VERDE,556.7942857142857,556.61865,560.5214285714286,0.1756333705357065,3.727142857142894
2025-01-17,1,1,6,RIO_VERDE,556.5557142857143,558.4527,560.8271428571428,1.8969834681919338,4.271428571428487
2025-01-18,1,1,6,RIO_VERDE,558.3814285714286,559.086,559.2585714285714,0.7045699637276357,0.8771428571427577
2025-01-19,1,1,6,RIO_VERDE,559.28,557.6574,556.8157142857143,1.6225903320312227,2.4642857142856656
2025-01-20,1,1,6,RIO_VERDE,560.4357142857142,558.53253,556.7385714285714,1.903182547432948,3.6971428571428078
2025-01-21,1,1,6,RIO_VERDE,560.6271428571429,558.0055,557.3057142857143,2.6216496930803714,3.321428571428555
2025-01-22,1,1,6,RIO_VERDE,558.9971428571428,561.3084,557.2071428571428,2.3112677873884877,1.7899999999999636
2025-01-23,1,1,6,RIO_VERDE,559.7971428571428,559.7759,557.3571428571429,0.021263950892830508,2.439999999999941
2025-01-24,1,1,6,RIO_VERDE,559.4357142857143,558.579,556.7942857142857,0.8567347935268117,2.641428571428605
2025-01-25,1,1,6,RIO_VERDE,557.73,557.10565,556.5557142857143,0.6243481445312682,1.174285714285702
2025-01-26,1,1,6,RIO_VERDE,555.9642857142858,558.2499,558.3814285714286,2.2855922154017208,2.417142857142835
2025-01-27,1,1,6,RIO_VERDE,555.3028571428572,559.3016,559.28,3.9987175641740578,3.9771428571427805
2025-01-28,1,1,6,RIO_VERDE,555.7071428571428,557.84503,560.4357142857143,2.1378888811384513,4.728571428571513
2025-01-29,1,1,6,RIO_VERDE,556.6942857142857,558.8897,560.6271428571429,2.1954237583705662,3.9328571428571877
2025-01-30,1,1,6,RIO_VERDE,556.37,558.8463,558.9971428571429,2.4763134765624955,2.6271428571428714
2025-01-31,1,1,6,RIO_VERDE,557.9785714285714,559.90076,559.7971428571428,1.9221854073661007,1.8185714285714312
2025-02-01,1,1,6,RIO_VERDE,558.2357142857143,559.43854,559.4357142857143,1.2028233119419838,1.2000000000000455
2025-02-02,1,1,6,RIO_VERDE,559.5828571428572,561.08655,557.7299999999999,1.503690708705335,1.8528571428572604
2025-02-03,1,1,6,RIO_VERDE,560.68,558.4838,555.9642857142857,2.1961743164062,4.715714285714284
2025-02-04,1,1,6,RIO_VERDE,559.6357142857142,558.29565,555.3028571428571,1.3400599888392435,4.332857142857165
2025-02-05,1,1,6,RIO_VERDE,560.3914285714285,555.75916,555.7071428571428,4.6322732979909915,4.684285714285693
2025-02-06,1,1,6,RIO_VERDE,561.34,558.4951,556.6942857142857,2.844882812500032,4.645714285714348
2025-02-07,1,1,6,RIO_VERDE,560.4228571428572,556.70526,556.37,3.7175959123884468,4.052857142857192
2025-02-08,1,1,6,RIO_VERDE,562.1457142857142,555.4782,557.9785714285714,6.667503836495484,4.167142857142835
2025-02-09,1,1,6,RIO_VERDE,562.7785714285714,556.0431,558.2357142857143,6.735480608258854,4.542857142857088
2025-02-10,1,1,6,RIO_VERDE,562.0199999999999,552.33295,559.5828571428572,9.687053222656118,2.437142857142703
2025-02-11,1,1,6,RIO_VERDE,562.2257142857142,555.1718,560.6800000000001,7.053900320870412,1.545714285714098
2025-02-12,1,1,6,RIO_VERDE,562.0742857142857,551.7321,559.6357142857142,10.34216901506693,2.4385714285714357
2025-02-13,1,1,6,RIO_VERDE,560.6857142857142,553.1201,560.3914285714285,7.565597098214198,0.2942857142857065
2025-02-14,1,1,6,RIO_VERDE,559.7614285714286,554.19275,561.3399999999999,5.56867954799111,1.5785714285713084
2025-02-15,1,1,6,RIO_VERDE,558.73,552.40955,560.4228571428572,6.320454101562518,1.6928571428571786
2025-02-16,1,1,6,RIO_VERDE,557.0400000000001,553.08636,562.1457142857142,3.9536352539063273,5.105714285714157
2025-02-17,1,1,6,RIO_VERDE,552.3785714285715,551.915,562.7785714285714,0.4635934012277403,10.399999999999864
2025-02-18,1,1,6,RIO_VERDE,553.5628571428572,553.3974,562.02,0.16545724051343313,8.457142857142799
2025-02-19,1,1,6,RIO_VERDE,552.7142857142858,557.77844,562.2257142857143,5.064156668526721,9.511428571428496
2025-02-20,1,1,6,RIO_VERDE,552.6014285714286,557.55023,562.0742857142857,4.948803362165108,9.472857142857038
2025-02-21,1,1,6,RIO_VERDE,552.6085714285715,558.39557,560.6857142857143,5.7869974190847415,8.077142857142803
2025-02-22,1,1,6,RIO_VERDE,552.2142857142857,555.95435,559.7614285714286,3.7400599888393344,7.547142857142944
2025-02-23,1,1,6,RIO_VERDE,552.2514285714286,558.1232,558.73,5.871801409040131,6.478571428571399
2025-02-24,1,1,6,RIO_VERDE,555.7414285714286,549.1515,557.0400000000001,6.589939313616128,1.2985714285714494
2025-02-25,1,1,6,RIO_VERDE,556.0485714285713,554.3849,552.3785714285715,1.6636837332588357,3.6699999999998454
2025-02-26,1,1,6,RIO_VERDE,556.0671428571429,557.41064,553.5628571428572,1.343501674107074,2.504285714285743
2025-02-27,1,1,6,RIO_VERDE,557.6914285714286,561.44135,552.7142857142857,3.7499166434151903,4.977142857142894
2025-02-28,1,1,6,RIO_VERDE,559.8157142857142,564.42804,552.6014285714285,4.6123252650670565,7.214285714285666
2025-03-01,1,1,6,RIO_VERDE,559.0071428571429,563.9988,552.6085714285715,4.991636439732133,6.398571428571358
2025-03-02,1,1,6,RIO_VERDE,560.1628571428571,564.17084,552.2142857142857,4.007980259486658,7.948571428571427
2025-03-03,1,1,6,RIO_VERDE,559.4714285714286,559.57733,552.2514285714286,0.10590297154010386,7.220000000000027
2025-03-04,1,1,6,RIO_VERDE,559.2628571428571,563.5008,555.7414285714286,4.237936314174135,3.521428571428487
2025-03-05,1,1,6,RIO_VERDE,558.5799999999999,558.91516,556.0485714285714,0.33516113281257276,2.531428571428478
2025-03-06,1,1,6,RIO_VERDE,557.9585714285714,558.1736,556.0671428571429,0.21501255580358247,1.8914285714284915
2025-03-07,1,1,6,RIO_VERDE,556.6214285714285,555.3747,557.6914285714286,1.2467337472097597,1.07000000000005
2025-03-08,1,1,6,RIO_VERDE,559.0600000000001,558.49066,559.8157142857143,0.5693383789063091,0.755714285714248
2025-03-09,1,1,6,RIO_VERDE,558.2371428571429,556.4052,559.0071428571429,1.831930454799135,0.7699999999999818
2025-03-10,1,1,6,RIO_VERDE,558.4728571428572,558.8699,560.1628571428571,0.3970159040178487,1.6899999999999409
