id_produtor,score_via_leite,impacto_economico_estimado,target_risco_queda_producao,target_risco_qualidade,target_risco_ccs,target_risco_cbt,target_risco_temp_tanque,target_risco_perda_bonus,target_risco_descarte,litros_coletados,classe_risco,prioridade_acao
P010,47.3,19829.69,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,447.37985118961575,Atenção,1
P007,36.8,35554.96,0.26666666666666666,0.4666666666666667,0.4,0.13333333333333333,0.3333333333333333,0.2,0.06666666666666667,477.29516319136286,Atenção,2
P003,35.3,24743.29,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.16666666666666666,473.4872772260019,Atenção,3
P006,32.4,19919.47,0.375,0.25,0.25,0.0,0.375,0.125,0.125,459.7998783380275,Atenção,4
P016,32.2,9235.32,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,439.29734324619693,Atenção,5
P011,32.0,11533.32,0.25,0.375,0.25,0.0,0.625,0.0,0.0,396.22080756732527,Atenção,6
P004,31.5,24391.1,0.4,0.3,0.0,0.3,0.3,0.0,0.1,473.0115983338841,Atenção,7
P013,30.6,13860.5,0.25,0.375,0.375,0.0,0.25,0.125,0.0,446.5767138149936,Atenção,8
P015,30.5,25773.02,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,444.1788266701732,Atenção,9
P017,30.4,19901.4,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,442.57410934891124,Atenção,10
P005,30.2,21011.03,0.3,0.3,0.2,0.1,0.4,0.1,0.0,456.385846360762,Atenção,11
P020,29.7,15120.39,0.2,0.3,0.2,0.2,0.4,0.1,0.0,450.62463789665725,Atenção,12
P014,29.2,10193.4,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,515.7378225787577,Atenção,13
P001,29.1,25123.65,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,420.6049247617892,Atenção,14
P009,27.4,16798.21,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.0,0.09090909090909091,499.7190089710159,Atenção,15
P012,26.3,29653.1,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.21428571428571427,486.51015838992396,Atenção,16
P002,25.8,13963.79,0.16666666666666666,0.3333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.0,0.0,464.84057078186896,Atenção,17
P008,25.4,16330.09,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182,444.04593758690095,Atenção,18
P019,24.0,10363.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,435.8427102964082,Baixo risco,19
P018,23.2,7741.18,0.2,0.4,0.2,0.0,0.2,0.2,0.0,476.3684771239451,Baixo risco,20
