data,id_produtor,id_laticinio,id_rota,polo_climatico,y_real,y_pred_modelo,y_pred_baseline,erro_abs_modelo,erro_abs_baseline
2025-01-01,1,1,6,RIO_VERDE,558.2071428571427,559.85693,554.4142857142857,1.649790736607315,3.792857142856974
2025-01-02,1,1,6,RIO_VERDE,557.1771428571428,560.5369,553.9942857142858,3.359783412388424,3.182857142857074
2025-01-03,1,1,6,RIO_VERDE,559.01,559.59283,555.7471428571429,0.5828344726562591,3.262857142857115
2025-01-04,1,1,6,RIO_VERDE,559.0785714285714,557.73114,554.2299999999999,1.347431291852672,4.848571428571518
2025-01-05,1,1,6,RIO_VERDE,558.9442857142857,561.9489,554.8271428571428,3.0046278599330662,4.1171428571428805
2025-01-06,1,1,6,RIO_VERDE,559.25,564.17487,555.99,4.92486572265625,3.259999999999991
2025-01-07,1,1,6,RIO_VERDE,559.3028571428571,560.16376,558.5071428571429,0.8609001813616715,0.7957142857142117
2025-01-08,1,1,6,RIO_VERDE,560.5214285714286,564.27783,558.08,3.7564034598213993,2.4414285714285597
2025-01-09,1,1,6,RIO_VERDE,560.8271428571429,560.9773,558.2071428571428,0.1501520647320831,2.6200000000001182
2025-01-10,1,1,6,RIO_VERDE,559.2585714285714,557.0067,557.1771428571429,2.251857561383872,2.0814285714284324
2025-01-11,1,1,6,RIO_VERDE,556.8157142857143,559.0242,559.01,2.208455636160693,2.1942857142856838
2025-01-12,1,1,6,RIO_VERDE,556.7385714285714,555.2563,559.0785714285714,1.4822848074776402,2.340000000000032
2025-01-13,1,1,6,RIO_VERDE,557.3057142857143,555.98145,558.9442857142857,1.3242689732143162,1.6385714285713675
2025-01-14,1,1,6,RIO_VERDE,557.2071428571428,556.7435,559.25,0.4636125837052987,2.0428571428572013
2025-01-15,1,1,6,RIO_VERDE,557.3571428571429,554.9988,559.3028571428571,2.3583635602678896,1.945714285714189
2025-01-16,1,1,6,RIO_VERDE,556.7942857142857,559.29596,560.5214285714286,2.5016737583705435,3.727142857142894
2025-01-17,1,1,6,RIO_VERDE,556.5557142857143,561.05035,560.8271428571428,4.494639718191934,4.271428571428487
2025-01-18,1,1,6,RIO_VERDE,558.3814285714286,561.06305,559.2585714285714,2.6816207449776357,0.8771428571427577
2025-01-19,1,1,6,RIO_VERDE,559.28,556.5463,556.8157142857143,2.7336743164062227,2.4642857142856656
2025-01-20,1,1,6,RIO_VERDE,560.4357142857142,560.1432,556.7385714285714,0.292525809151698,3.6971428571428078
2025-01-21,1,1,6,RIO_VERDE,560.6271428571429,559.8091,557.3057142857143,0.8180608258928714,3.321428571428555
2025-01-22,1,1,6,RIO_VERDE,558.9971428571428,562.9241,557.2071428571428,3.9269294084822377,1.7899999999999636
2025-01-23,1,1,6,RIO_VERDE,559.7971428571428,561.50543,557.3571428571429,1.7082892717634195,2.439999999999941
2025-01-24,1,1,6,RIO_VERDE,559.4357142857143,561.99725,556.7942857142857,2.5615391322544383,2.641428571428605
2025-01-25,1,1,6,RIO_VERDE,557.73,561.57324,556.5557142857143,3.843242187499982,1.174285714285702
2025-01-26,1,1,6,RIO_VERDE,555.9642857142858,559.41376,558.3814285714286,3.4494716099329708,2.417142857142835
2025-01-27,1,1,6,RIO_VERDE,555.3028571428572,562.2467,559.28,6.943846958705308,3.9771428571427805
2025-01-28,1,1,6,RIO_VERDE,555.7071428571428,559.9797,560.4357142857143,4.272532435825951,4.728571428571513
2025-01-29,1,1,6,RIO_VERDE,556.6942857142857,562.7541,560.6271428571429,6.059803641183066,3.9328571428571877
2025-01-30,1,1,6,RIO_VERDE,556.37,561.81805,558.9971428571429,5.4480541992187455,2.6271428571428714
2025-01-31,1,1,6,RIO_VERDE,557.9785714285714,561.5637,559.7971428571428,3.5851492745536007,1.8185714285714312
2025-02-01,1,1,6,RIO_VERDE,558.2357142857143,561.4617,559.4357142857143,3.2259556361607338,1.2000000000000455
2025-02-02,1,1,6,RIO_VERDE,559.5828571428572,563.11725,557.7299999999999,3.534391392299085,1.8528571428572604
2025-02-03,1,1,6,RIO_VERDE,560.68,558.79895,555.9642857142857,1.88104980468745,4.715714285714284
2025-02-04,1,1,6,RIO_VERDE,559.6357142857142,557.1938,555.3028571428571,2.4419276646204935,4.332857142857165
2025-02-05,1,1,6,RIO_VERDE,560.3914285714285,553.4576,555.7071428571428,6.9338480050222415,4.684285714285693
2025-02-06,1,1,6,RIO_VERDE,561.34,557.76776,556.6942857142857,3.572238769531282,4.645714285714348
2025-02-07,1,1,6,RIO_VERDE,560.4228571428572,553.93115,556.37,6.491704799107197,4.052857142857192
2025-02-08,1,1,6,RIO_VERDE,562.1457142857142,555.3143,557.9785714285714,6.831444266182984,4.167142857142835
2025-02-09,1,1,6,RIO_VERDE,562.7785714285714,555.39545,558.2357142857143,7.383124651227604,4.542857142857088
2025-02-10,1,1,6,RIO_VERDE,562.0199999999999,552.9352,559.5828571428572,9.084819335937368,2.437142857142703
2025-02-11,1,1,6,RIO_VERDE,562.2257142857142,554.7771,560.6800000000001,7.448614676339162,1.545714285714098
2025-02-12,1,1,6,RIO_VERDE,562.0742857142857,554.7464,559.6357142857142,7.327886788504429,2.4385714285714357
