data,polo_climatico,temp_min_c,temp_max_c,temp_med_c,umidade_med_pct,precip_mm,vento_med_ms,radiacao_proxy,precip_3d,precip_7d,precip_15d,dias_sem_chuva,thi,thi_3d_avg,onda_calor_3d,onda_calor_5d,dry_spell_10d,anomalia_temp,indice_favorabilidade_pastagem
2021-01-01,JATAI,22.39325821368058,32.1466112062904,27.269934709985492,72.60148718423305,14.57946321053926,2.585602207753663,1.3345962461789231,14.57946321053926,14.57946321053926,14.57946321053926,0,77.60702881982556,77.60702881982556,1,1,0,0.0605846827765113,1.1065513717615778
2021-01-02,JATAI,23.025359314386296,32.09439890601524,27.559879110200768,69.68033102900058,14.26836100866947,1.2336065658025226,1.1878749952830217,28.84782421920873,28.84782421920873,28.84782421920873,0,77.67099158734402,77.63901020358479,1,1,0,0.35052908299178753,1.3
2021-01-03,JATAI,21.803056750886853,30.699545374560735,26.251301062723794,75.76971641802669,13.517690563879329,3.5373695623503822,1.096384375398481,42.36551478308806,42.36551478308806,42.36551478308806,0,76.42011542058403,77.23271194258454,1,1,0,-0.9580489644851866,1.3
2021-01-04,JATAI,21.595645535123083,32.22924111566244,26.91244332539276,67.05046881468392,17.24764206115756,2.5890383083819195,1.1656993699697433,45.033693633706356,59.613156844245616,59.613156844245616,0,76.37533227803868,76.82214642865557,1,1,0,-0.29690670181621925,1.3
2021-01-05,JATAI,22.287535132410326,30.38384421401762,26.335689673213974,63.51158092441738,0.0,1.4793825018296345,1.4213016143112094,30.765332625036887,59.613156844245616,59.613156844245616,1,75.10870329333028,75.968050330651,1,1,0,-0.8736603539950067,1.3
2021-01-06,JATAI,23.06855853537868,30.779500097137113,26.924029316257897,74.52479610213081,18.27149515400971,2.3425459612699613,1.055302050955422,35.51913721516726,77.88465199825532,77.88465199825532,0,77.31584507447911,76.26662688194936,1,1,0,-0.28532071095108336,1.3
2021-01-07,JATAI,22.932700577741524,31.110058481401975,27.02137952957175,68.95709227815152,0.0,2.609505862749675,1.3420832343923503,18.27149515400971,77.88465199825532,77.88465199825532,1,76.77327926404342,76.39927587728427,1,1,0,-0.18797049763723095,1.3
2021-01-08,JATAI,25.45817271205253,32.54311995636573,29.00064633420913,73.98749644442542,18.986769702827807,2.8106492664135105,1.1095078442933253,37.25826485683751,82.29195849054388,96.87142170108314,0,80.45259519278609,78.18057317710289,1,1,0,1.7912963070001489,1.3
2021-01-09,JATAI,22.878491922617293,30.946125708385104,26.9123088155012,70.2839872481306,14.318159508125376,2.821460497549772,1.1051464883941753,33.30492921095318,82.34175698999978,111.18958120920851,0,76.77425322317704,78.00004256000217,1,1,0,-0.2970412117077821,1.3
2021-01-10,JATAI,21.92403048985253,28.197178296075048,25.06060439296379,70.53784344908041,15.053529621608911,4.03211777058507,1.0094980194978371,48.35845883256209,83.87759604772936,126.24311083081741,0,74.01261574024332,77.07982138540216,1,1,0,-2.1487456342451914,1.3
2021-01-11,JATAI,24.859705086804983,32.330186050237174,28.59494556852108,70.4712214389577,0.0,1.640313559780839,1.5517796998647748,29.371689129734285,66.62995398657179,126.24311083081741,1,79.33421658255361,76.70702851532467,1,1,0,1.3855955413120995,1.3
2021-01-12,JATAI,23.71957354650297,31.60423966443738,27.661906605470175,72.75182966239392,17.024383561945495,2.663070244389902,1.0697207681989167,32.07791318355441,83.65433754851729,143.2674943927629,0,78.22593045194084,77.19092092491259,1,1,0,0.4525565782611949,1.3
